arc,arc_hours,phase,start_days_from_perilune,separation_km,model,burn_m_s,n_measurements,excluded_fraction,separation_min_km,separation_max_km,target_moon_distance_min_km,los_departure_max_arcsec,range_sigma_km,cross_range_sigma_km,range_sigma_weaker_prior_km,prior_limited,scale_information_ratio
12 h,12.0,0.4166666666666667,2.7336868125218876,50.0,nonlinear,0.0,73,0.0,49.13355160135718,50.00000000000387,69801.85227248151,2.9880499351517247,956.0665594389186,0.0019910874988536254,8510.576311861785,True,126.42420994748583
12 h,12.0,0.4166666666666667,2.7336868125218876,50.0,linear,0.0,73,0.0,49.13355160135718,50.00000000000387,69801.85227248151,2.9880499351517247,957.3348360762317,0.0019896039936991654,9573.348360413309,True,6.671550845312977e-13
12 h,12.0,0.4166666666666667,2.7336868125218876,50.0,nonlinear,0.5,73,0.0,49.13355160135718,50.00000000000387,69801.85227248151,2.9880499351517247,0.07973861353701304,0.0018624709488856098,0.07973861477156932,False,22602261876.747356
12 h,12.0,0.4166666666666667,2.7336868125218876,50.0,linear,0.5,73,0.0,49.13355160135718,50.00000000000387,69801.85227248151,2.9880499351517247,0.07974023328297547,0.0018624621756580437,0.07974023451771216,False,22599347577.810207
12 h,12.0,0.4583333333333333,3.007055493774076,50.0,nonlinear,0.0,73,0.0,49.13872650157195,49.999999999999694,70861.50152582562,2.8910975822696807,955.1263341053509,0.0019928998719019545,7831.576900451239,True,117.68624167329622
12 h,12.0,0.4583333333333333,3.007055493774076,50.0,linear,0.0,73,0.0,49.13872650157195,49.999999999999694,70861.50152582562,2.8910975822696807,957.4868221307138,0.001990462359544519,9574.86822097279,True,6.458441279889041e-13
12 h,12.0,0.4583333333333333,3.007055493774076,50.0,nonlinear,0.5,73,0.0,49.13872650157195,49.999999999999694,70861.50152582562,2.8910975822696807,0.07963972913056269,0.001862926087304742,0.07963973036868023,False,22655867600.905983
12 h,12.0,0.4583333333333333,3.007055493774076,50.0,linear,0.5,73,0.0,49.13872650157195,49.999999999999694,70861.50152582562,2.8910975822696807,0.07964131607731029,0.0018629176516600319,0.07964131731552844,False,22653041520.318115
12 h,12.0,0.5,3.280424175026265,50.0,nonlinear,0.0,73,0.0,49.12972919352625,50.00000000000001,70033.60645618502,2.907824939983877,952.7688162698263,0.0019957614831067,6767.7966969244035,True,118.05460749636369
12 h,12.0,0.5,3.280424175026265,50.0,linear,0.0,73,0.0,49.12972919352625,50.00000000000001,70033.60645618502,2.907824939983877,957.5298185579047,0.001991538803763519,9575.29818522148,True,6.812349268060065e-13
12 h,12.0,0.5,3.280424175026265,50.0,nonlinear,0.5,73,0.0,49.12972919352625,50.00000000000001,70033.60645618502,2.907824939983877,0.07962861186028333,0.0018630854596770156,0.07962861310140897,False,22653235799.88947
12 h,12.0,0.5,3.280424175026265,50.0,linear,0.5,73,0.0,49.12972919352625,50.00000000000001,70033.60645618502,2.907824939983877,0.0796302266163624,0.0018630770678792915,0.07963022785758368,False,22650393395.839645
12 h,12.0,0.5416666666666666,-3.0070554937740765,50.0,nonlinear,0.0,73,0.0,49.106915183992825,49.99999999999786,68378.05651748566,3.0395788727305444,948.230563765958,0.001999665035512053,5563.690493479565,True,127.42026526853421
12 h,12.0,0.5416666666666666,-3.0070554937740765,50.0,linear,0.0,73,0.0,49.106915183992825,49.99999999999786,68378.05651748566,3.0395788727305444,957.4868221307463,0.001992641907186307,9574.868220937298,True,7.675170081217806e-13
