phase,burn_m_s,lowest_perigee_altitude_km
0.2500,160.0,370675.8
0.2500,162.0,370470.5
0.2500,164.0,370263.0
0.2500,166.0,370053.7
0.2500,168.0,369842.4
0.2500,170.0,369629.2
0.2500,172.0,369414.3
0.2500,174.0,369197.7
0.2500,176.0,368979.4
0.2500,178.0,368759.6
0.2500,180.0,368538.3
0.2500,182.0,368315.6
0.2500,184.0,368091.5
0.2500,186.0,367866.2
0.2500,188.0,367639.6
0.2500,190.0,367411.9
0.2500,192.0,367183.1
0.2500,194.0,366953.3
0.2500,196.0,366722.6
0.2500,198.0,366491.1
0.2500,200.0,366258.7
0.3333,-200.0,360673.4
0.3333,-198.0,360911.5
0.3333,-196.0,361151.7
0.3333,-194.0,361393.6
0.3333,-192.0,361637.2
0.3333,-190.0,361882.3
0.3333,-188.0,362128.6
0.3333,-186.0,362376.1
0.3333,-184.0,362624.6
0.3333,-182.0,362874.0
0.3333,-180.0,363124.0
0.3333,-178.0,363374.8
0.3333,-176.0,363626.0
0.3333,-174.0,350025.6
0.3333,-172.0,331717.5
0.3333,-170.0,176945.7
0.3333,-168.0,172777.3
0.3333,-166.0,174603.5
0.3333,-164.0,174371.2
0.3333,-162.0,161690.8
0.3333,-160.0,331525.0
0.3333,-158.0,337247.0
0.3333,-156.0,341772.7
0.3333,-154.0,345484.1
0.3333,-152.0,348587.4
0.3333,-150.0,351215.4
0.3333,-148.0,353461.5
0.3333,-146.0,355394.8
0.3333,-144.0,357067.9
0.3333,-142.0,358522.3
0.3333,-140.0,343738.6
0.3333,-138.0,358241.1
0.3333,-136.0,361872.1
0.3333,-134.0,362725.1
0.3333,-132.0,363474.1
0.3333,-130.0,364132.0
0.3333,-128.0,364709.8
0.3333,-126.0,365216.8
0.3333,-124.0,365661.1
0.3333,-122.0,366049.7
0.3333,-120.0,366388.8
0.3333,-118.0,366683.8
0.3333,-116.0,366939.4
0.3333,-114.0,367160.0
0.3333,-112.0,367349.4
0.3333,-110.0,367510.9
0.3333,-108.0,367647.8
0.3333,-106.0,367763.0
0.3333,-104.0,367859.1
0.3333,-102.0,367938.6
0.3333,-100.0,368003.8
0.3333,-98.0,368056.9
0.3333,-96.0,368100.0
0.3333,-94.0,368135.1
0.3333,-92.0,368164.1
0.3333,-90.0,368188.9
0.3333,-88.0,368211.3
0.3333,-86.0,368233.0
0.3333,-84.0,368255.7
0.3333,-82.0,368281.2
0.3333,-80.0,368311.1
0.3333,-78.0,368347.1
0.3333,-76.0,368390.7
0.3333,-74.0,367350.6
0.3333,-72.0,366151.8
0.3333,-70.0,364916.6
0.3333,-68.0,363656.2
0.3333,-66.0,362385.0
0.3333,-64.0,361120.2
0.3333,-62.0,359882.7
0.3333,-60.0,358696.9
0.3333,-58.0,357590.2
0.3333,-56.0,356592.6
0.3333,-54.0,355735.6
0.3333,-52.0,355050.1
0.3333,-50.0,365207.0
0.3333,-48.0,365199.1
0.3333,-46.0,365296.0
0.3333,-44.0,365498.2
0.3333,-42.0,365804.7
0.3333,-40.0,366212.5
0.3333,-38.0,366717.4
0.3333,-36.0,367313.4
0.3333,-34.0,367993.7
0.3333,-32.0,368749.9
0.3333,-30.0,369572.3
0.3333,-28.0,370449.8
0.3333,-26.0,371369.4
0.3333,-24.0,372316.1
0.3333,-22.0,373272.5
0.3333,-20.0,374217.4
0.3333,-18.0,375125.5
0.3333,-16.0,375966.3
0.3333,-14.0,376703.3
0.3333,-12.0,377294.5
0.3333,-10.0,377696.8
0.3333,-8.0,377789.8
0.3333,-6.0,377819.8
0.3333,-4.0,377842.7
0.3333,-2.0,377835.0
0.3333,2.0,377736.0
0.3333,4.0,377045.2
0.3333,6.0,375363.3
0.3333,8.0,372363.4
0.3333,10.0,375782.4
0.3333,12.0,374369.2
0.3333,14.0,372388.3
0.3333,16.0,369694.6
0.3333,18.0,366135.7
0.3333,20.0,361712.3
0.3333,22.0,357420.4
0.3333,24.0,358439.0
0.3333,26.0,371550.1
0.3333,28.0,375191.7
0.3333,30.0,374568.6
0.3333,32.0,373863.7
0.3333,34.0,373077.5
0.3333,36.0,372214.5
0.3333,38.0,371285.9
0.3333,40.0,370312.9
0.3333,42.0,369333.4
0.3333,44.0,368410.2
0.3333,46.0,367643.3
0.3333,48.0,367182.8
0.3333,50.0,367233.1
0.3333,52.0,368018.5
0.3333,54.0,369644.9
0.3333,56.0,371743.8
0.3333,58.0,373066.8
0.3333,60.0,353972.0
0.3333,62.0,373653.8
0.3333,64.0,373397.4
0.3333,66.0,373133.3
0.3333,68.0,372861.5
0.3333,70.0,372581.9
0.3333,72.0,372294.4
0.3333,74.0,371998.9
0.3333,76.0,371695.4
0.3333,78.0,371383.8
0.3333,80.0,371063.9
0.3333,82.0,370735.6
0.3333,84.0,370398.9
0.3333,86.0,370053.7
0.3333,88.0,369699.8
0.3333,90.0,369337.2
0.3333,92.0,368965.7
0.3333,94.0,368585.3
0.3333,96.0,368195.8
0.3333,98.0,367797.1
0.3333,100.0,367389.2
0.3333,102.0,366971.9
0.3333,104.0,366545.1
0.3333,106.0,366108.7
0.3333,108.0,365662.6
0.3333,110.0,365206.7
0.3333,112.0,364740.9
0.3333,114.0,364265.1
